임대시세,0-9세주거,10-19세주거,20-29세주거,30-39세주거,40-49세주거,50-59세주거,60-69세주거,70-79세주거,80-89세주거,1인가구,2인가구,3인가구,4인가구,직장인구,생활인구,편의점수,슈퍼마켓수,여관수,외식업수,주유소수,피시방수,당구장수,노래방수,독서실수,지하철역수,폐업률
-2529,-1.3333,-37.667,133,39.667,43,62.333,12.333,47,15.3333,-350.667,-50,19,134.3333,139.595,-2328.88,33,2,1,0,0,-2,0,-1,0,0,6.1
-6797,-26.6667,-18.333,48.667,-37.333,-10.333,42.667,-3,19,28,-344.667,-30.667,50,148.6667,17.22124,30266.18,7,1,0,0,0,0,0,0,0,0,0
-22199,-42.667,-17.333,16.333,-52,-11.667,16.667,8.333,30.333,32.3333,-243.667,-63.333,140,117,-75.6948,8403.555,8,4,0,0,0,0,0,0,0,0,12.5
-7748,-7.667,-55.333,73.333,-1.333,14,29.667,49.333,29.333,5.6667,-296.333,-114.333,101.667,94,-23.8782,-1480.62,19,4,-1,0,-1,-1,0,0,1,1,5.3
-3959,-25.333,-23.667,39.333,26,43.333,14,63.333,34.333,11,-310.667,-135.667,105.333,209,-9.60105,-522.036,18,0,0,0,0,-1,0,-2,0,1,0
-5319,-5.667,-22.667,222,35.667,8.667,91.333,21.333,23.667,13.6667,-713.667,-35.667,65,128.333,192.6398,-20218.7,33,0,-2,0,0,0,2,-3,0,1,3
-15052,-13.333,-4,25,37.333,1.667,24.333,46,-1.667,17,-195,-187,123.333,153.333,98.17851,7821.578,15,1,0,0,0,0,-1,0,0,3,0
-3413,-34.333,-17.333,111,40.333,-36,53.333,0.667,64.333,27,-428,-205.333,49.333,235.333,-84.5804,-8110.35,28,0,-2,0,0,0,0,0,0,0,0
17041,-46.333,-62.333,67,-44.333,-53.333,54,40.333,37.667,5,-267.667,-145,76.667,231,79.64406,-2527.18,15,1,0,0,0,-1,-1,-1,0,1,0
-9441,-14,-66.333,48.333,19,-65,63,57.667,17.667,19.6667,-267.333,-157,58.667,250,44.13281,-5303.85,19,0,0,0,0,0,0,0,0,0,0
-17937,3.667,-26.333,-4,19.667,-37,11,23,16.667,12,-177.333,-22.667,60.667,107.6667,26.37467,8573.273,11,-1,0,0,0,0,0,0,0,0,9.1
52700,-47,-82.667,34,10.667,-103.667,36.333,31.667,35.333,31,-231.667,-164,-0.667,251,58.97423,-10049,17,0,0,0,0,0,0,-3,-2,0,5.9
10911,-37.667,-7.667,-27.667,0,14.333,-18,55.333,33.667,10.3333,-439.333,-117.333,87,133.333,151.0003,-342.861,18,0,0,0,0,-1,1,-1,0,1,0
