NM,CD,GUBUN,2018년2분기길단위생존인구,2018년2분기건물단위생존인구,2018년2분기주거인구,2018년2분기직장인구,2019년2분기길단위생존인구,2019년2분기건물단위생존인구,2019년2분기주거인구,2019년2분기직장인구,2020년2분기길단위생존인구,2020년2분기건물단위생존인구,2020년2분기주거인구,2020년2분기직장인구
번1동,11305590,dong,118553.6592,177700.4065,316.5187459,70.73396377,113192.6027,168700.7159,316.1635422,46.07960114,115685.2928,165883.5969,310.8839243,41.25206058
번2동,11305600,dong,28703.27103,49278.0395,176.6939252,21.29995166,31561.49291,49951.321,176.5831453,12.22607154,34350.81977,55069.85961,170.721882,13.877699
번3동,11305606,dong,27789.0886,61703.10153,177.2504559,13.66970097,26381.56506,57985.71646,176.1345619,11.77268124,28962.62778,63414.58092,169.7088726,11.74478389
수유1동,11305610,dong,36069.90171,54177.07496,126.3343924,17.32386593,35295.21778,53174.54965,126.8090972,13.00576795,34700.89307,51602.98498,124.3840991,10.98112333
수유2동,11305620,dong,112114.5389,176928.912,378.3150998,35.30491759,105207.408,165329.627,377.1023354,35.92814371,110011.1844,177495.6563,372.2175901,37.62938259
수유3동,11305630,dong,124565.7055,205901.2998,328.5550364,67.97833079,120311.0122,197554.1552,330.2513916,47.37382152,120617.0457,197879.7015,323.0936002,46.51874817
우이동,11305645,dong,3585.790745,7274.65499,20.24973835,2.295850484,3322.884966,6806.949536,20.28250946,2.917565297,3535.426228,7359.098955,19.89300138,2.661950623
인수동,11305660,dong,29576.4637,48742.57714,112.7088419,11.88279591,27715.75028,46337.45172,113.203668,13.66347295,30284.16609,50382.92501,112.5136992,14.97023203
도봉구,11320,gu,31127.40612,65560.8703,162.4256537,19.00863647,29627.13688,62039.05429,162.4078887,18.00178851,30100.52539,62704.24569,159.9659103,17.47123677
창1동,11320511,dong,49189.54925,108308.7053,243.3488157,16.57139547,45053.9317,93639.86439,240.6879799,18.60774937,45272.69946,99631.72884,236.8596346,16.20032654
창2동,11320512,dong,113859.3219,187368.9572,474.4620884,34.78380422,118619.5092,201162.9567,472.5525691,36.38780046,124746.1791,204945.2167,462.5772401,37.67099746
