name,code,type,parent,male,female,onehouse,convnum,rent
일원1동,11680730,dong,강남구,"8,062","8,415",3116,12,120060
일원2동,11680740,dong,강남구,"8,683","9,334",2163,7,218536
수서동,11680750,dong,강남구,"7,403","8,705",3250,20,132788
송파구,11710,gu,송파구,"329,200","350,047",94289,622,142495
풍납1동,11710510,dong,송파구,"7,392","7,523",2528,8,90189
풍납2동,11710520,dong,송파구,"11,748","12,937",3900,18,107433
거여1동,11710531,dong,송파구,"6,724","6,437",1801,12,97150
거여2동,11710532,dong,송파구,"8,424","8,665",2486,11,136240
마천1동,11710540,dong,송파구,"10,655","10,149",3548,10,72130
마천2동,11710550,dong,송파구,"10,284","9,954",3086,10,97886
방이1동,11710561,dong,송파구,"7,928","8,448",1798,22,110210
방이2동,11710562,dong,송파구,"12,362","13,371",7062,38,135306
오륜동,11710566,dong,송파구,"9,279","9,678",668,16,333684
오금동,11710570,dong,송파구,"19,961","20,938",4223,40,103822
송파1동,11710580,dong,송파구,"12,198","13,630",5801,24,109775
송파2동,11710590,dong,송파구,"9,993","10,664",1528,13,129176
석촌동,11710600,dong,송파구,"16,040","17,385",8257,45,128332
삼전동,11710610,dong,송파구,"15,479","17,015",8185,36,143652
가락본동,11710620,dong,송파구,"13,662","13,938",4425,43,127851
가락1동,11710631,dong,송파구,"12,723","13,263",1684,6,102804
