code,name,parent,parentname,male2018,male2019,male2020,female2018,female2019,female2020,onehouse2018,onehouse2019,onehouse2020,convnum2018,convnum2019,convnum2020,rent2018,rent2019,rent2020
11320700,방학2동,11320,도봉구,11023,10691,10350,10761,10492,10138,3548,3713,3874,12,12,16,101506,74361,85839
11320710,방학3동,11320,도봉구,14473,14102,13664,15121,14788,14426,1717,1795,1828,9,10,11,58673,94694,85367
11350,노원구,11,서울특별시,266826,260946,254463,282539,277404,272255,66145,68669,70945,350,355,356,128814,133134,136712
11350560,월계1동,11350,노원구,12231,12124,11730,11481,11365,11035,4264,4328,4557,36,37,33,103361,133370,138209
11350570,월계2동,11350,노원구,12997,12666,13402,13897,13590,14374,3636,3865,4153,18,19,18,88942,131897,88552
11350580,월계3동,11350,노원구,15816,15399,14793,16937,16595,16075,3466,3669,3955,9,8,10,0,148960,190722
11350595,공릉1동,11350,노원구,19277,19036,18546,19987,19748,19433,7702,8132,8430,48,45,45,105489,113500,111611
11350600,공릉2동,11350,노원구,20206,19924,19456,21016,20818,20430,5087,5430,5708,41,37,38,97328,140378,120824
11350611,하계1동,11350,노원구,14441,14149,13387,15270,15068,14415,4620,4816,4345,21,21,20,87420,107662,100393
11350612,하계2동,11350,노원구,11523,11256,10927,12498,12283,11990,1545,1588,1719,4,5,5,0,0,174586
11350619,중계본동,11350,노원구,13234,12928,12332,13736,13403,12871,2127,2117,1993,14,12,15,152734,112986,128484
11350621,중계1동,11350,노원구,13920,13729,13464,14547,14368,14107,1391,1407,1423,14,14,13,210576,171461,228056
11350624,중계4동,11350,노원구,10629,10448,10114,11163,11016,10790,2338,2489,2610,11,14,12,143662,103525,152226
11350625,중계2.3동,11350,노원구,17851,17293,16609,20299,19832,19308,4599,4830,5053,9,9,10,208505,245656,176838
11350630,상계1동,11350,노원구,20130,19703,19180,21061,20705,20245,4242,4335,4477,27,26,25,117448,117979,124155
11350640,상계2동,11350,노원구,10698,10513,10277,10954,10767,10495,3003,3117,3219,25,32,31,151481,185410,151049
11350665,상계3.4동,11350,노원구,13530,12997,13538,13514,13068,13725,4541,4535,4679,15,16,17,82843,75983,90160
11350670,상계5동,11350,노원구,12974,12580,12103,13511,13199,12747,3812,3875,4001,12,13,17,94242,88078,102078
11350695,상계6.7동,11350,노원구,16623,16271,15734,18943,18607,18102,4021,4178,4272,28,28,28,158613,184853,198330
11350700,상계8동,11350,노원구,11955,11653,11203,12809,12496,12083,2107,2237,2437,6,5,5,185570,0,163237
11350710,상계9동,11350,노원구,10861,10548,10189,11691,11485,11228,1965,2026,2118,7,9,9,156429,132678,204162
11350720,상계10동,11350,노원구,7930,7729,7479,9225,8991,8802,1679,1695,1796,5,5,5,0,0,188675
11380,은평구,11,서울특별시,234905,233566,231508,249737,250164,250221,71730,75336,79784,357,359,374,99553,106182,110909
11380510,녹번동,11380,은평구,15792,18103,17848,16972,19466,19556,5957,6534,6858,26,28,31,96273,107256,104302
11380520,불광1동,11380,은평구,19932,19464,18928,21753,21462,21009,6079,6448,6772,13,15,14,117929,133751,128478
11380530,불광2동,11380,은평구,14544,14315,13909,15296,15104,14729,5506,5815,6145,25,24,29,104358,116847,144442
11380551,갈현1동,11380,은평구,12246,11943,11486,12773,12634,12039,4263,4505,4815,21,20,20,95771,127468,109995
11380552,갈현2동,11380,은평구,14625,14282,13857,15915,15698,15267,3971,4186,4410,34,33,33,109404,93562,111055
11380560,구산동,11380,은평구,16886,16836,16481,16797,16942,16599,3606,3928,4341,24,22,23,83293,65642,103211
11380570,대조동,11380,은평구,15422,14915,12783,17182,16694,14581,7258,7365,7179,33,34,36,102072,123953,123595
11380580,응암1동,11380,은평구,12495,12265,14442,13453,13285,15944,4411,4658,5234,27,25,25,115080,104676,114290
11380590,응암2동,11380,은평구,10486,10863,13337,10853,11321,14122,2432,2547,3013,4,4,6,85725,117947,94917
11380600,응암3동,11380,은평구,12922,12713,12412,13316,13242,12971,5511,5774,6049,28,33,34,93465,101563,109235
11380625,역촌동,11380,은평구,23918,23223,22265,26159,25534,24748,7012,7340,7702,41,39,42,92550,97973,96218
11380631,신사1동,11380,은평구,13549,13863,13430,14332,14688,14357,3432,3665,3903,20,20,19,93935,90614,93252
11380632,신사2동,11380,은평구,11088,11027,10496,11045,10958,10546,2937,3143,3203,12,12,10,75108,76533,84341
11380640,증산동,11380,은평구,8167,8020,7603,8355,8256,7913,2381,2464,2537,16,15,12,63743,78440,104629
11380650,수색동,11380,은평구,6150,4608,5321,6098,4624,5400,1895,1421,1385,1,1,1,73809,97136,80087
11380690,진관동,11380,은평구,26683,27126,26910,29438,30256,30440,5079,5543,6238,32,34,39,131409,130484,124679
11410,서대문구,11,서울특별시,150131,149775,149803,161149,161440,162829,55942,58356,61198,294,311,326,134330,123256,130370
11410520,천연동,11410,서대문구,9112,8854,8561,9945,9693,9471,3331,3314,3314,10,12,14,99609,129935,133552
11410555,북아현동,11410,서대문구,8319,8196,8057,9113,9019,8796,2790,2872,2860,8,9,8,188282,105222,134726
11410565,충현동,11410,서대문구,8873,8697,9098,9276,9165,9815,4313,4453,4851,27,28,32,108396,118171,114423
11410585,신촌동,11410,서대문구,8414,8494,8515,9992,10263,10541,8497,9163,9797,82,84,85,217905,190797,187060
11410615,연희동,11410,서대문구,18198,18396,18106,19359,19559,19402,9375,9904,10416,37,39,41,105565,110370,94928
11410620,홍제1동,11410,서대문구,10886,11644,11508,12252,13062,12993,3136,3407,3586,14,15,18,119428,100415,156304
11410640,홍제3동,11410,서대문구,8064,7966,7743,8579,8409,8163,2582,2640,2723,11,13,13,104529,108586,120613
11410655,홍제2동,11410,서대문구,7097,6959,6839,7691,7603,7538,1632,1736,1821,4,5,6,121252,234712,115926
11410660,홍은1동,11410,서대문구,11721,11035,11089,12272,11685,11802,3225,3104,3217,10,11,12,102028,78321,85653
11410685,홍은2동,11410,서대문구,14250,13526,13159,14876,14253,14023,4687,4689,4919,20,21,23,107582,90499,100239
11410690,남가좌1동,11410,서대문구,8135,8108,7720,8761,8657,8273,1426,1461,1425,8,8,9,202508,137421,133985
11410700,남가좌2동,11410,서대문구,10862,12129,14445,11550,12917,15524,4202,4568,5004,21,25,23,84515,105295,117254
11410710,북가좌1동,11410,서대문구,9415,9295,8972,10017,9850,9618,1489,1577,1620,10,10,11,0,98704,111765
11410720,북가좌2동,11410,서대문구,16785,16476,15991,17466,17305,16870,5257,5468,5645,32,31,31,111716,83187,100277
11440,마포구,11,서울특별시,178430,177388,176174,196261,197034,197446,73510,77236,81156,555,543,543,149627,141500,146291
11440555,아현동,11440,마포구,12003,11729,11657,13354,13179,13249,3214,3166,3211,22,23,25,206701,157396,159789
11440565,공덕동,11440,마포구,19044,18978,18489,20890,20970,20605,7859,8523,8931,30,29,28,103366,93005,98573
11440585,도화동,11440,마포구,10834,10654,10499,11866,11754,11408,3524,3637,3644,22,23,24,172000,202560,151398
11440590,용강동,11440,마포구,10532,10424,10309,11520,11552,11505,3079,3173,3250,29,26,28,139479,165496,163062
11440600,대흥동,11440,마포구,5854,5696,6928,6100,5938,7376,4664,4767,5153,41,40,40,131515,134605,160796
11440610,염리동,11440,마포구,5017,6044,5878,5320,6438,6297,2349,2455,2441,9,10,9,120056,125407,156230
11440630,신수동,11440,마포구,10445,10336,11320,10902,10776,11977,3487,3574,3923,17,18,17,132489,121770,112775
11440655,서강동,11440,마포구,12041,12095,11878,13109,13261,13062,5036,5185,5287,41,41,34,155007,159598,150010
11440660,서교동,11440,마포구,11514,11347,11408,13221,13125,13573,8332,8662,9547,132,124,125,174220,153770,167382
11440680,합정동,11440,마포구,9014,8803,8571,10342,10104,9859,4836,4944,5232,29,28,29,137632,140609,136834
11440690,망원1동,11440,마포구,10147,10270,9874,11142,11482,11117,4769,5085,5114,25,25,26,143486,130339,146018
