이름,코드,임대시세,0-9세주거,10-19세주거,20-29세주거,30-39세주거,40-49세주거,50-59세주거,60-69세주거,70-79세주거,80-89세주거,1인가구,2인가구,3인가구,4인가구,직장인구,생활인구,편의점수,슈퍼마켓수,여관수,외식업수,주유소수,피시방수,당구장수,노래방수,독서실수,지하철역수,폐업률
정릉1동,11290620,-7623,75,135.667,484.667,120.667,143,78.667,70,16.333,16,-20.333,-35,-43,37.333,691.1314,6411.108,15,1,0,0,0,0,-1,0,0,1,0
정릉2동,11290630,-13151,-66,-14.333,204.333,-59,-27.333,7.667,61,2,23.3333,-54.333,-49.667,4,83.667,387.5718,-9498.26,16,3,0,0,0,0,0,-1,0,0,7.1
정릉3동,11290640,11428,4.6667,91.333,1173,95.333,-0.667,20,6.333,-7.333,28.3333,-68.667,-32.333,25,42.3333,-575.929,-2112.26,15,0,0,0,0,0,0,0,0,0,6.7
정릉4동,11290650,15952,-7.333,-10.333,189.667,-15.667,-25.333,42,49.667,-7.667,28,-85.333,-31.333,49.667,83.667,-665.741,-7608.09,18,0,0,0,0,0,0,-1,0,1,6.7
길음1동,11290660,3220,-90.333,-32.333,42,-46.333,-96,36.333,26.333,-37.667,10.3333,12,11.333,-59,60.333,-135.087,-1536.58,7,1,-1,0,0,0,0,-1,0,1,0
길음2동,11290685,1039,369.3333,278.333,614.333,802.333,679,563,377,145,50.3333,-73.667,-77.333,-82.333,-61.667,-1006.22,4856.064,8,2,0,0,0,0,0,0,0,0,0
종암동,11290705,4173,-52.333,91.333,1333,93.667,5,82,63,11.667,38.667,-151.333,-60.667,81,82,2432.231,-11425.8,27,0,0,0,0,0,-1,0,0,1,0
월곡1동,11290715,-10355,-49.333,-29,77.333,-31.333,-42.333,73.667,36.667,10,17.3333,-107.333,-40.667,-5.333,83,-746.293,-11871.8,13,1,0,0,0,0,0,-2,0,0,0
월곡2동,11290725,265,9.333,-5.333,312.667,161.667,-7.667,31.333,21.667,12.667,17.3333,-259,-45.667,22.333,45.667,-996.822,15853.2,24,0,0,0,1,-3,0,0,0,2,4.3
장위1동,11290760,-5578,-12.667,-42,41,21,-28.667,3.667,28.333,24.667,19.3333,-88.333,-17.667,12,89.667,246.7751,195.212,12,-1,0,0,0,0,0,0,0,0,0
장위2동,11290770,856,-8,-52.333,29.667,27.667,-51,-56,-17.667,-40.333,-3.6667,-79.667,0,28.667,44.6667,430.152,21303.07,8,-1,0,0,0,0,0,0,0,1,0
장위3동,11290780,-2181,30.6667,29,89.667,66.667,25.333,58.667,38.667,10.3333,10.6667,-713.333,-518,-617.333,-537.667,-307.588,28650,8,0,0,0,0,0,0,0,0,0,33.3
석관동,11290810,401,245,113.667,680.333,603.333,327,365.667,272.333,128.333,79.3333,-317.667,-149.333,6.333,49,-1164.53,-2687.44,23,0,0,0,0,-1,-4,0,0,0,7.4
삼양동,11305534,-5322,-40.667,-52.667,24,-68,-40.667,-52.667,41,-3.667,9.3333,-33.667,-29.333,88,76,-297.816,-6875.09,13,-1,0,0,0,-1,0,-3,1,3,7.7
미아동,11305535,-7289,-1.3333,-23,204,66,9,51.333,63.333,21.667,19,-153.667,1.333,9.333,69,-1215.52,-7812.82,32,0,-2,0,0,0,-1,1,0,1,2.9
