CD,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,
서울시 전체,11,종로구,11,중구,11,용산구,11,성동구,11,광진구,11,동대문구,11,중랑구,11,성북구,11,강북구,11,도봉구,11,노원구,11,은평구,11,서대문구,11,마포구,11,양천구,11,강서구,11,구로구,11,금천구,11,영등포구,11,동작구,11,관악구,11,서초구,11,강남구,11,송파구,11,강동구
자양3동,11215840,,11215840,,11215840,,11215840,,11215840,1,11215840,,11215840,,11215840,,11215840,,11215840,,11215840,,11215840,,11215840,,11215840,,11215840,,11215840,,11215840,,11215840,,11215840,,11215840,,11215840,,11215840,,11215840,,11215840,,11215840,
자양4동,11215847,,11215847,,11215847,,11215847,,11215847,1,11215847,,11215847,,11215847,,11215847,,11215847,,11215847,,11215847,,11215847,,11215847,,11215847,,11215847,,11215847,,11215847,,11215847,,11215847,,11215847,,11215847,,11215847,,11215847,,11215847,
구의1동,11215850,,11215850,,11215850,,11215850,,11215850,1,11215850,,11215850,,11215850,,11215850,,11215850,,11215850,,11215850,,11215850,,11215850,,11215850,,11215850,,11215850,,11215850,,11215850,,11215850,,11215850,,11215850,,11215850,,11215850,,11215850,
구의2동,11215860,,11215860,,11215860,,11215860,,11215860,1,11215860,,11215860,,11215860,,11215860,,11215860,,11215860,,11215860,,11215860,,11215860,,11215860,,11215860,,11215860,,11215860,,11215860,,11215860,,11215860,,11215860,,11215860,,11215860,,11215860,
구의3동,11215870,,11215870,,11215870,,11215870,,11215870,1,11215870,,11215870,,11215870,,11215870,,11215870,,11215870,,11215870,,11215870,,11215870,,11215870,,11215870,,11215870,,11215870,,11215870,,11215870,,11215870,,11215870,,11215870,,11215870,,11215870,
동대문구,11230,2,11230,,11230,,11230,2,11230,2,11230,2,11230,2,11230,2,11230,,11230,,11230,,11230,,11230,,11230,,11230,,11230,,11230,,11230,,11230,,11230,,11230,,11230,,11230,,11230,,11230,
용신동,11230536,1,11230536,,11230536,,11230536,1,11230536,,11230536,1,11230536,,11230536,1,11230536,,11230536,,11230536,,11230536,,11230536,,11230536,,11230536,,11230536,,11230536,,11230536,,11230536,,11230536,,11230536,,11230536,,11230536,,11230536,,11230536,
제기동,11230545,,11230545,,11230545,,11230545,,11230545,,11230545,1,11230545,,11230545,1,11230545,,11230545,,11230545,,11230545,,11230545,,11230545,,11230545,,11230545,,11230545,,11230545,,11230545,,11230545,,11230545,,11230545,,11230545,,11230545,,11230545,
전농1동,11230560,,11230560,,11230560,,11230560,,11230560,,11230560,1,11230560,,11230560,,11230560,,11230560,,11230560,,11230560,,11230560,,11230560,,11230560,,11230560,,11230560,,11230560,,11230560,,11230560,,11230560,,11230560,,11230560,,11230560,,11230560,
전농2동,11230570,,11230570,,11230570,,11230570,,11230570,,11230570,1,11230570,,11230570,,11230570,,11230570,,11230570,,11230570,,11230570,,11230570,,11230570,,11230570,,11230570,,11230570,,11230570,,11230570,,11230570,,11230570,,11230570,,11230570,,11230570,
답십리1동,11230600,,11230600,,11230600,,11230600,1,11230600,,11230600,1,11230600,,11230600,,11230600,,11230600,,11230600,,11230600,,11230600,,11230600,,11230600,,11230600,,11230600,,11230600,,11230600,,11230600,,11230600,,11230600,,11230600,,11230600,,11230600,
답십리2동,11230610,,11230610,,11230610,,11230610,1,11230610,,11230610,1,11230610,,11230610,,11230610,,11230610,,11230610,,11230610,,11230610,,11230610,,11230610,,11230610,,11230610,,11230610,,11230610,,11230610,,11230610,,11230610,,11230610,,11230610,,11230610,
장안1동,11230650,,11230650,,11230650,,11230650,1,11230650,1,11230650,1,11230650,,11230650,,11230650,,11230650,,11230650,,11230650,,11230650,,11230650,,11230650,,11230650,,11230650,,11230650,,11230650,,11230650,,11230650,,11230650,,11230650,,11230650,,11230650,
장안2동,11230660,,11230660,,11230660,,11230660,,11230660,,11230660,1,11230660,1,11230660,,11230660,,11230660,,11230660,,11230660,,11230660,,11230660,,11230660,,11230660,,11230660,,11230660,,11230660,,11230660,,11230660,,11230660,,11230660,,11230660,,11230660,
청량리동,11230705,,11230705,,11230705,,11230705,,11230705,,11230705,1,11230705,,11230705,1,11230705,,11230705,,11230705,,11230705,,11230705,,11230705,,11230705,,11230705,,11230705,,11230705,,11230705,,11230705,,11230705,,11230705,,11230705,,11230705,,11230705,
