code,profitscore,stablescore,profit2018,profit2019,profit2020,expectedprofit2020,survive2018,survive2019,survive2020,expectedsurvive2020
11440590,9.810628146,9.787135,47644461,50954476,43825046,47986910.63,96.6,100,100,98.86453
11440600,10.27441064,8.700361,72922446,58834111,54872766,55497510.96,95.1,97.5,95,97.78269
11440610,9.913435232,10.634273,49842795,45335422,49188461,49651792.22,100,90,100,99.707825
11440630,9.966112664,10.474497,71459455,50850414,64053203,50504862.66,100,100,88.2,99.548775
11440655,10.52613836,9.0656595,71504625,61457079,58523844,59574047.59,92.7,100,97.1,98.14633
11440660,11.62738732,4.8464737,90178696,59889367,51572967,77407926.32,93.9,96,96,93.9463
11440680,10.67083643,9.647356,78262960,66367006,63423430,61917321.32,96.6,89.3,96.6,98.72539
11440690,10.84082017,10.054891,64886048,44234513,54643402,64670077.12,100,100,100,99.13107
11440700,10.36915821,10.438138,53377675,54430556,58957043,57031874.84,100,100,94.4,99.51258
11440710,10.24489369,10.030396,57812942,46937921,55341606,55019506.74,96.2,96.2,96,99.10669
11440720,9.911158908,9.987645,43071951,41250407,47339793,49614928.9,96.8,96.4,92.9,99.06413
11440730,9.840899884,9.162229,62391219,54068521,49690152,48477138.12,90,96.9,100,98.24246
11440740,10.64305131,8.636419,73776171,59304156,60116673,61467362.81,98.1,98.1,94.1,97.71904
11440,0,0,69686349.63,54250219.69,51674452.57,63749324.71,95.67333333,97.24861879,96.13278085,98.543274
11470510,10.94500641,9.265311,67452083,55840828,62554291,66357293.06,94.4,100,97.1,98.34508
11470520,9.104300919,9.951317,41716898,22160352,33981282,36548485.12,96,92.9,92.6,99.02797
11470530,10.88762966,10.233895,63108875,68391585,70285238,65428120.8,100,100,100,99.309265
11470540,8.941328989,10.282808,33278909,30401312,31072473,33909280.22,95.2,95,100,99.357956
11470550,11.11080642,10.252419,95751179,69847603,73467752,69042296.47,94.7,84.2,94.7,99.327705
11470560,10.65696432,10.597883,64933586,55061086,65513343,61692673.14,100,100,92.9,99.6716
11470570,9.484011784,10.768173,38059445,25549163,40564792,42697610.18,100,88.9,88.9,99.84112
11470580,10.29778095,10.700208,70632101,65416499,55192541,55875975.16,100,100,100,99.77346
11470590,9.505647795,10.522927,50342883,34014228,47269290,43047988.71,93.3,100,93.7,99.596985
11470600,8.946180178,10.472214,43557685,28317845,30514481,33987841.5,93.7,100,94.7,99.5465
11470610,8.802240896,11.156602,43407520,55843103,23822591,31656855.66,100,100,100,100.22778
11470611,9.255070213,10.46891,45306961,34732442,33731568,38990077.73,100,92.3,100,99.54321
11470620,10.2872508,10.7761135,75428266,70217374,69075696,55705447.46,100,100,100,99.84902
11470630,9.633390515,10.652284,37337906,36494489,32513120,45116683.68,91.7,100,100,99.72575
11470640,9.451175959,10.097933,61025285,33136879,32659935,42165859.27,94.7,100,100,99.17392
11470650,9.975311149,9.13909,44326945,31844735,43320807,50653825.04,95.8,90.7,97.6,98.21943
