이름,코드,임대시세,0-9세주거,10-19세주거,20-29세주거,30-39세주거,40-49세주거,50-59세주거,60-69세주거,70-79세주거,80-89세주거,90-99세주거,1인가구,2인가구,3인가구,4인가구,편의점수,지하철역수,직장인구,거주인구,폐업률,매출
상계1동,11350630,117979,2644,3693,5723,5374,6194,7302,5443,2779,1177,198,4335,3580,3381,3237,26,1,7540.422457,45827.32514,0,45546957
상계2동,11350640,185410,1124,2071,3554,2530,3409,4082,2665,1387,546,77,3117,1710,1663,1793,32,1,2357.810151,20747.17814,15.6,58431331
상계3.4동,11350665,75983,1328,2157,3218,2812,4020,4768,4017,2706,1021,133,4535,2824,1991,1661,16,1,2769.098635,30767.87118,6.3,22229858
상계5동,11350670,88078,1284,2357,3684,2929,4108,4799,3497,2222,875,138,3875,2623,2187,1786,13,1,1553.365259,20834.79025,7.7,39684490
상계6.7동,11350695,184853,2901,3468,4798,5326,6124,5715,3710,1933,919,144,4178,3257,3068,2887,28,0,4996.398295,27098.20417,0,48031698
상계8동,11350700,133134,2819,2415,2681,5249,4186,3028,2116,1129,504,71,2237,2248,2308,2062,5,1,884.4031651,24599.02801,0,87703938
상계9동,11350710,132678,1645,2436,2777,3090,3817,3686,2649,1324,601,90,2026,2107,2045,1902,9,0,2418.975149,21705.6613,11.1,23536522
상계10동,11350720,133134,1109,1577,2457,2665,2785,2894,1945,846,443,58,1695,1761,1500,1385,5,0,1196.050045,16917.13118,0,11377287
녹번동,11380510,107256,2743,2597,5049,6437,5916,6140,4775,3037,1123,167,6534,4050,3115,2424,28,2,4871.753804,30270.2208,0,36587857
불광1동,11380520,133751,2850,2988,5585,6022,6590,6942,5222,3451,1394,175,6448,4269,3541,2739,15,1,3517.905921,32013.58078,0,28191275
불광2동,11380530,116847,1435,2086,4372,4333,4428,5213,4131,2650,945,120,5815,3302,2354,1721,24,1,2929.540998,31975.9125,0,60170676
갈현1동,11380551,127468,1226,1925,3939,3550,3770,4306,3337,2046,648,101,4505,2657,2000,1537,20,0,2515.966584,26160.72203,0,42350938
