NM,CD,GUBUN,2020년2분기1층,2020년1분기1층,2019년4분기1층,2019년3분기1층,2019년2분기1층,2019년1분기1층,2018년4분기1층,2018년3분기1층,20202분기1층외,20201분기1층외,2019년4분기1층외,2019년3분기1층외,2019년2분기1층외,2019년1분기1층외,2018년4분기1층외,2018년3분기1층외,20202분기전체,20201분기전체,2019년4분기전체,2019년3분기전체,2019년2분기전체,2019년1분기전체,2018년4분기전체,2018년3분기전체
11290725,월곡2동,dong,105170,97146,96772,96400,97317,97052,94067,100117,40640,41975,55344,59319,57484,68951,56814,55949,78319,73657,77493,78878,77853,84563,79468,85749
11290760,장위1동,dong,61785,57937,57345,53069,53492,59070,60886,61138,31028,28047,33346,37577,36669,42462,41413,40868,53300,50764,50320,49891,49950,54399,57280,57240
11290770,장위2동,dong,79768,78088,78083,78522,84513,83657,75259,70861,59180,46979,43745,36423,35881,43635,43696,42849,72535,69396,67607,67246,69202,71392,63953,61099
11290780,장위3동,dong,95326,96175,105369,112849,114259,116440,89178,85253,36881,40988,36354,48261,58556,61148,64291,58410,73247,74580,83285,89362,89502,95706,77979,72471
11290810,석관동,dong,94920,92037,86847,83923,90949,90548,99324,93432,50649,45295,65322,71553,68632,73746,62276,58613,79928,79437,81557,81202,85855,86920,92378,83612
11305,강북구,gu,99833,94772,97278,98250,97288,97756,92022,91286,64177,70279,73048,70351,72741,66874,69332,63658,86837,86500,88960,88721,88452,86793,84408,82146
11305534,삼양동,dong,84721,82587,99842,104541,93911,99233,73568,67066,78580,55123,48334,43506,50539,56791,61791,66672,82337,73170,81331,80527,77003,82852,68679,66884
11305535,미아동,dong,109104,90833,98506,106513,94767,102056,99245,98444,57498,72178,73504,78147,81045,74637,62277,56808,89231,84788,89577,96753,89500,91315,86434,86198
11305545,송중동,dong,119842,119878,113436,118342,116732,116979,128533,124934,76519,61359,57830,58928,69760,73322,75180,72416,102632,99417,94076,98366,100205,101418,110749,107428
11305555,송천동,dong,90665,87131,94859,90826,90423,93946,77159,88204,44299,67412,67157,67068,63965,41645,49109,52180,74028,81394,86023,83472,81035,73976,66987,73887
