"CD","NM","GUBUN","FIRST_1Y","FIRST_1Y_MOL","FIRST_1Y_DEN","FIRST_3Y","FIRST_3Y_MOL","FIRST_3Y_DEN","FIRST_5Y","FIRST_5Y_MOL","FIRST_5Y_DEN","SECOND_1Y","SECOND_1Y_MOL","SECOND_1Y_DEN","SECOND_3Y","SECOND_3Y_MOL","SECOND_3Y_DEN","SECOND_5Y","SECOND_5Y_MOL","SECOND_5Y_DEN","THIRD_1Y","THIRD_1Y_MOL","THIRD_1Y_DEN","THIRD_3Y","THIRD_3Y_MOL","THIRD_3Y_DEN","THIRD_5Y","THIRD_5Y_MOL","THIRD_5Y_DEN"
"11290760","장위1동","dong","100","1","1","100","1","1","100","1","1","100","1","1","100","1","1","100","1","1","0","0","0","0","0","0","0","0","0"
"11290770","장위2동","dong","100","4","4","50","2","4","50","2","4","0","0","0","0","0","0","0","0","0","100","2","2","0","0","2","0","0","2"
"11290780","장위3동","dong","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11290810","석관동","dong","100","1","1","100","1","1","100","1","1","100","4","4","75","3","4","75","3","4","100","1","1","0","0","1","0","0","1"
"11305","강북구","gu","91.3","21","23","65.2","15","23","34.8","8","23","83.3","20","24","54.2","13","24","45.8","11","24","92.3","48","52","57.7","30","52","36.5","19","52"
"11305534","삼양동","dong","100","1","1","100","1","1","0","0","1","50","1","2","50","1","2","50","1","2","100","1","1","0","0","1","0","0","1"
"11305535","미아동","dong","75","3","4","75","3","4","25","1","4","100","2","2","100","2","2","50","1","2","85.7","6","7","57.1","4","7","42.9","3","7"
"11305545","송중동","dong","100","4","4","75","3","4","25","1","4","100","1","1","0","0","1","0","0","1","66.7","6","9","33.3","3","9","22.2","2","9"
"11305555","송천동","dong","66.7","2","3","0","0","3","0","0","3","100","4","4","50","2","4","50","2","4","100","3","3","100","3","3","66.7","2","3"
"11305575","삼각산동","dong","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100","3","3","66.7","2","3","66.7","2","3"
"11305590","번1동","dong","100","1","1","100","1","1","100","1","1","100","3","3","66.7","2","3","66.7","2","3","100","5","5","40","2","5","20","1","5"
"11305600","번2동","dong","0","0","0","0","0","0","0","0","0","100","1","1","100","1","1","100","1","1","100","1","1","100","1","1","100","1","1"
"11305606","번3동","dong","100","1","1","100","1","1","100","1","1","50","1","2","50","1","2","50","1","2","100","3","3","33.3","1","3","33.3","1","3"
"11305610","수유1동","dong","100","3","3","100","3","3","33.3","1","3","66.7","2","3","33.3","1","3","0","0","3","100","2","2","0","0","2","0","0","2"
"11305620","수유2동","dong","100","1","1","100","1","1","100","1","1","0","0","1","0","0","1","0","0","1","100","5","5","80","4","5","40","2","5"
"11305630","수유3동","dong","100","1","1","100","1","1","100","1","1","100","3","3","66.7","2","3","66.7","2","3","100","3","3","66.7","2","3","66.7","2","3"
"11305645","우이동","dong","100","1","1","0","0","1","0","0","1","100","1","1","0","0","1","0","0","1","100","4","4","100","4","4","50","2","4"
"11305660","인수동","dong","100","3","3","33.3","1","3","33.3","1","3","100","1","1","100","1","1","100","1","1","100","6","6","66.7","4","6","16.7","1","6"
"11320","도봉구","gu","81.8","18","22","45.5","10","22","27.3","6","22","95.7","22","23","56.5","13","23","39.1","9","23","94.4","34","36","66.7","24","36","52.8","19","36"
"11320511","창1동","dong","0","0","0","0","0","0","0","0","0","100","1","1","100","1","1","0","0","1","100","1","1","0","0","1","0","0","1"
"11320512","창2동","dong","0","0","1","0","0","1","0","0","1","100","2","2","0","0","2","0","0","2","100","2","2","100","2","2","100","2","2"
"11320513","창3동","dong","100","1","1","0","0","1","0","0","1","100","3","3","66.7","2","3","66.7","2","3","66.7","2","3","66.7","2","3","66.7","2","3"
"11320514","창4동","dong","100","3","3","100","3","3","66.7","2","3","50","1","2","0","0","2","0","0","2","100","4","4","50","2","4","25","1","4"
"11320515","창5동","dong","100","2","2","0","0","2","0","0","2","100","2","2","100","2","2","100","2","2","0","0","1","0","0","1","0","0","1"
"11320521","도봉1동","dong","100","2","2","50","1","2","0","0","2","100","1","1","0","0","1","0","0","1","100","4","4","100","4","4","75","3","4"
"11320522","도봉2동","dong","33.3","1","3","33.3","1","3","33.3","1","3","100","2","2","0","0","2","0","0","2","0","0","0","0","0","0","0","0","0"
"11320660","쌍문1동","dong","0","0","0","0","0","0","0","0","0","100","3","3","66.7","2","3","66.7","2","3","100","1","1","100","1","1","0","0","1"
"11320670","쌍문2동","dong","100","1","1","100","1","1","100","1","1","0","0","0","0","0","0","0","0","0","100","6","6","50","3","6","33.3","2","6"
"11320680","쌍문3동","dong","100","1","1","0","0","1","0","0","1","100","2","2","100","2","2","50","1","2","100","4","4","75","3","4","75","3","4"
"11320681","쌍문4동","dong","100","1","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","100","2","2","100","2","2","50","1","2"
"11320690","방학1동","dong","80","4","5","80","4","5","40","2","5","100","2","2","100","2","2","0","0","2","100","3","3","100","3","3","100","3","3"
"11320700","방학2동","dong","0","0","0","0","0","0","0","0","0","100","3","3","66.7","2","3","66.7","2","3","100","2","2","50","1","2","50","1","2"
