NM,CD,GUBUN,2018년2분기30년기준,2018년2분기10년기준,2019년2분기30년기준,2019년2분기10년기준,2020년2분기30년기준,2020년2분기10년기준
신정2동,11470630,dong,4.208333333,3.383333333,4.45,3.566666667,4.375,3.483333333
신정3동,11470640,dong,3.6,2.991666667,3.766666667,3.3,4.016666667,3.425
신정4동,11470650,dong,4.958333333,3.108333333,5.075,3.066666667,5.233333333,3.058333333
신정6동,11470670,dong,4.591666667,3.816666667,4.625,3.441666667,4.766666667,3.091666667
신정7동,11470680,dong,4.291666667,2.791666667,4.408333333,3.008333333,4.491666667,3.183333333
강서구,11500,gu,4.233333333,2.95,4.216666667,2.825,4.325,2.875
염창동,11500510,dong,4.9,3.291666667,4.941666667,2.941666667,4.958333333,3.016666667
등촌1동,11500520,dong,4.358333333,3.016666667,4.216666667,2.691666667,4.191666667,2.875
등촌2동,11500530,dong,7.416666667,5.25,7.125,4.991666667,7.266666667,5.25
등촌3동,11500535,dong,4.491666667,3.275,4.441666667,2.775,4.525,2.791666667
화곡1동,11500540,dong,5.183333333,3.366666667,5.133333333,3.341666667,5.391666667,3.433333333
화곡2동,11500550,dong,3.541666667,2.45,3.816666667,2.866666667,4.091666667,3.158333333
화곡3동,11500560,dong,4.408333333,3.216666667,4.2,2.75,4.241666667,2.45
화곡4동,11500570,dong,3.916666667,2.8,3.966666667,3.016666667,3.991666667,3.291666667
화곡본동,11500590,dong,3.558333333,2.825,3.541666667,2.691666667,3.725,2.841666667
화곡6동,11500591,dong,3.775,2.916666667,4.008333333,3.35,4.166666667,3.608333333
화곡8동,11500593,dong,4,2.933333333,4.341666667,3.391666667,4.541666667,3.433333333
가양1동,11500603,dong,2.425,2,2.591666667,2,2.866666667,2.275
가양2동,11500604,dong,5.966666667,3.433333333,5.875,2.766666667,5.875,2.891666667
가양3동,11500605,dong,6.716666667,5.025,3.466666667,2.075,3.775,2.541666667
발산1동,11500611,dong,3.816666667,2.916666667,3.433333333,2.516666667,3.225,1.958333333
우장산동,11500615,dong,5.375,3.791666667,5.091666667,3.258333333,5.308333333,3.291666667
공항동,11500620,dong,3.808333333,2.875,3.816666667,2.816666667,4.033333333,3.025
방화1동,11500630,dong,4.308333333,3.133333333,4.325,2.975,4.291666667,2.591666667
방화2동,11500640,dong,4.858333333,2.941666667,5.108333333,2.925,5.225,2.95
방화3동,11500641,dong,4.816666667,2.766666667,5,2.741666667,5.333333333,3.008333333
구로구,11530,gu,4.575,3.141666667,4.641666667,3.008333333,4.758333333,3.108333333
신도림동,11530510,dong,5.433333333,3.358333333,5.625,3.158333333,5.75,3.166666667
구로1동,11530520,dong,3.008333333,2.3,3.191666667,2.583333333,3.241666667,2.925
구로2동,11530530,dong,4.416666667,3.041666667,4.325,3.041666667,4.508333333,3.075
구로3동,11530540,dong,3.983333333,2.858333333,4.15,2.883333333,4.358333333,3.183333333
구로4동,11530550,dong,5.05,3.383333333,5.25,3.425,5.358333333,3.566666667
구로5동,11530560,dong,5.391666667,3.266666667,5.45,3.358333333,5.675,3.633333333
가리봉동,11530595,dong,5.175,3.566666667,5.25,3.008333333,5.758333333,3.2
고척1동,11530720,dong,4.566666667,2.833333333,4.216666667,2.05,4.375,2.116666667
고척2동,11530730,dong,3.058333333,2.941666667,3.266666667,2.958333333,3.591666667,3.283333333
개봉1동,11530740,dong,4.941666667,4.125,4.883333333,3.2,4.583333333,2.716666667
개봉2동,11530750,dong,6.716666667,4.416666667,6.6,3.991666667,6.866666667,3.483333333
개봉3동,11530760,dong,3.85,2.841666667,4.35,3.341666667,4.141666667,3.283333333
오류1동,11530770,dong,5.941666667,3.108333333,6.325,3.325,6.35,3.075
오류2동,11530780,dong,3.758333333,2.808333333,3.45,2.558333333,3.383333333,2.558333333
수궁동,11530790,dong,4.25,3.3,4.308333333,3.083333333,4.558333333,3.391666667
금천구,11545,gu,4.583333333,3.258333333,4.508333333,3.083333333,4.675,3.05
가산동,11545510,dong,5.466666667,3.583333333,5.35,3.366666667,5.383333333,3.108333333
독산1동,11545610,dong,4.591666667,3.066666667,4.275,2.841666667,4.591666667,3.166666667
독산2동,11545620,dong,4.983333333,3.35,4.9,3.408333333,5.291666667,3.25
독산3동,11545630,dong,3.55,2.666666667,3.691666667,2.85,3.733333333,2.916666667
독산4동,11545640,dong,5.191666667,3.733333333,5.266666667,3.366666667,5.733333333,3.341666667
시흥1동,11545670,dong,3.766666667,2.966666667,3.658333333,2.625,3.941666667,2.875
시흥2동,11545680,dong,5.441666667,3.708333333,5.108333333,3.383333333,5.433333333,4.033333333
시흥3동,11545690,dong,3.45,3.783333333,3.458333333,3.758333333,3.225,2.741666667
시흥4동,11545700,dong,3.775,3.083333333,3.675,2.666666667,4.1,3.125
시흥5동,11545710,dong,3.483333333,2.791666667,3.725,3.058333333,3.691666667,2.808333333
영등포구,11560,gu,4.441666667,2.983333333,4.533333333,2.975,4.641666667,2.891666667
영등포본동,11560515,dong,5.408333333,3.275,5.808333333,3.683333333,6.016666667,3.908333333
영등포동,11560535,dong,5.041666667,2.891666667,5.158333333,2.816666667,5.158333333,2.841666667
여의동,11560540,dong,4.783333333,3.441666667,4.725,3.125,4.908333333,2.791666667
